PLAYER_NAME,SEASON,PTS,REB,AST
AJ Hammons,2017,2.827586206896553,2.0689655172413803,0.24137931034482749
Aaron Brooks,2017,2.305555555555553,0.4722222222222218,0.6944444444444439
Aaron Gordon,2017,17.682539682539684,7.841269841269844,2.2063492063492065
Aaron Gordon,2018,15.666666666666664,7.344827586206898,3.6436781609195403
Aaron Gordon,2019,13.983333333333333,7.3,3.3333333333333335
Aaron Harrison,2017,6.666666666666668,2.666666666666666,1.222222222222222
Aaron Holiday,2018,5.947368421052637,1.2807017543859645,1.5789473684210527
Aaron Holiday,2019,9.696428571428571,2.160714285714285,3.375
Aaron Jackson,2017,1.625,0.875,0.375
Abdel Nader,2017,3.0158730158730145,1.3015873015873025,0.523809523809524
Abdel Nader,2018,3.796875,1.8125,0.3125
Abdel Nader,2019,5.893617021276597,1.74468085106383,0.7021276595744679
Abdul Gaddy,2018,1.0,1.25,1.75
Abdul Gaddy,2019,0.0,0.0,0.0
Adam Mokoka,2019,3.1333333333333333,0.9333333333333335,0.46666666666666673
Admiral Schofield,2019,3.366666666666667,1.6,0.5666666666666667
Adreian Payne,2017,4.1999999999999975,1.8000000000000003,0.0
Ahmed Hill,2019,1.75,0.75,0.25
Akil Mitchell,2017,0.0,1.0,0.0
Al Horford,2017,13.351063829787234,7.5638297872340425,4.3936170212765955
Al Horford,2018,13.3125,6.8374999999999995,4.2124999999999995
Al Horford,2019,11.559322033898304,6.661016949152542,3.898305084745763
Al Jefferson,2017,6.82051282051282,3.9743589743589722,0.8717948717948711
Al-Farouq Aminu,2017,9.474358974358974,7.5256410256410255,1.1794871794871795
Al-Farouq Aminu,2018,8.970297029702971,7.198019801980198,1.2475247524752475
Al-Farouq Aminu,2019,5.25,4.875,1.3333333333333333
Alan Williams,2017,4.0,4.3999999999999995,1.5999999999999999
Alan Williams,2018,3.333333333333334,3.1666666666666665,0.5
Alec Burks,2017,8.0,2.9605263157894743,1.1973684210526312
Alec Burks,2018,8.865671641791044,3.671641791044776,1.9850746268656718
Alec Burks,2019,15.34545454545455,4.490909090909092,2.981818181818181
Alec Peters,2017,3.956521739130436,1.7826086956521732,0.6086956521739133
Alen Smailagic,2019,4.214285714285716,1.9285714285714295,0.9285714285714292
Alex Abrines,2017,4.658536585365855,1.597560975609756,0.36585365853658536
Alex Abrines,2018,5.61764705882353,1.6176470588235292,0.6764705882352942
Alex Caruso,2017,3.627906976744186,1.930232558139535,2.3255813953488373
Alex Caruso,2018,8.172413793103448,2.4482758620689657,2.793103448275861
Alex Caruso,2019,5.60655737704918,1.9672131147540985,2.0327868852459012
Alex Hamilton,2017,2.0,0.0,0.0
Alex Len,2017,8.76712328767123,7.561643835616439,1.1369863013698627
Alex Len,2018,11.158536585365853,5.487804878048781,1.1463414634146343
Alex Len,2019,8.0,6.0,1.14
Alex Poythress,2017,1.2857142857142858,0.8214285714285712,0.10714285714285708
Alex Poythress,2018,6.0,3.7692307692307696,1.0384615384615385
Alexis Ajinca,2017,0.0,1.5,0.0
Alexis Ajinca,2018,5.028087479895994,3.69592328537457,0.4325697240422886
Alfonzo McKinnie,2017,2.4210526315789465,1.2631578947368423,0.1052631578947368
Alfonzo McKinnie,2018,4.404040404040404,3.252525252525253,0.3737373737373737
Alfonzo McKinnie,2019,4.341463414634147,2.975609756097559,0.39024390243902446
Alize Johnson,2018,1.4375,1.875,0.1875
Alize Johnson,2019,2.933333333333335,2.2666666666666666,0.2666666666666667
Allen Crabbe,2017,13.16883116883117,4.259740259740261,1.5454545454545456
Allen Crabbe,2018,9.355555555555556,3.3555555555555556,1.0222222222222224
Allen Crabbe,2019,4.648648648648648,2.081081081081081,0.8918918918918922
Allonzo Trier,2018,11.101449275362318,3.0144927536231885,1.8405797101449277
Allonzo Trier,2019,6.961538461538461,1.1538461538461537,1.1153846153846152
Amida Brimah,2017,1.0,3.0,0.0
Amida Brimah,2019,1.3333333333333333,1.3333333333333333,0.0
Amile Jefferson,2017,0.0,1.0,0.0
Amile Jefferson,2018,2.357142857142859,1.9285714285714297,0.21428571428571436
Amile Jefferson,2019,1.2916666666666665,1.541666666666666,0.375
Amir Coffey,2019,3.0,1.2727272727272727,0.909090909090909
Amir Hinton,2019,0.0,0.0,0.0
Amir Johnson,2017,4.564705882352941,4.376470588235294,1.541176470588235
Amir Johnson,2018,3.82758620689655,2.810344827586205,1.1551724137931032
Andre Drummond,2017,15.049382716049385,16.0,3.0617283950617287
Andre Drummond,2018,17.363636363636363,15.397727272727273,1.4431818181818181
Andre Drummond,2019,17.28813559322034,14.93220338983051,2.694915254237288
Andre Iguodala,2017,6.353658536585366,3.9390243902439024,3.1219512195121952
Andre Iguodala,2018,6.608695652173913,3.847826086956521,3.293478260869565
Andre Iguodala,2019,4.333333333333334,4.0,1.777777777777778
Andre Ingram,2017,12.0,3.0,3.5
Andre Ingram,2018,0.0,0.5,0.0
Andre Roberson,2017,4.761904761904762,4.571428571428571,1.2857142857142858
Andre Roberson,2018,4.398556412795277,4.041087210244867,0.883099580998913
Andre Roberson,2019,4.398556412795277,4.041087210244867,0.883099580998913
Andrew Bogut,2017,1.5,3.25,0.625
Andrew Bogut,2018,3.033333333333333,4.299999999999999,1.0666666666666667
Andrew Harrison,2017,9.442622950819672,2.360655737704918,3.0819672131147535
Andrew Harrison,2018,3.363636363636363,1.227272727272727,1.3636363636363638
Andrew Harrison,2019,2.8,0.6,0.8
Andrew White III,2017,4.3125,2.1875,0.4375
Andrew Wiggins,2017,17.5,4.344444444444444,1.9333333333333333
